r,team,1,2,3,4,5,6,7,8,9,10,11,12,bp,mp
1,CRE Liège 3,XX,2,3,3,3.5,3,4,2.5,2.5,3.5,2.5,4,33.5,21
2,Anderlecht 3,2,XX,3.5,2.5,2,2.5,2.5,3,2.5,3,2,3.5,29,19
3,Desperado Leuven 2,1,0.5,XX,2,2.5,3,3.5,3.5,2,2.5,3.5,2.5,26.5,16
4,Humbeek 2,1,1.5,2,XX,1,3,1.5,1,3,4,3.5,4,25.5,11
5,Leuven 3,0.5,2,1.5,3,XX,2.5,2.5,2.5,1.5,2,2.5,2,22.5,13
6,Thibucle 3,1,1.5,1,1,1.5,XX,2,3.5,3.5,2,2,2.5,21.5,9
7,Tibéchecs 1,0,1.5,0.5,2.5,1.5,2,XX,2.5,2.5,2.5,2.5,2.5,20.5,13
8,Dworp 1,1.5,1,0.5,3,1.5,0.5,1.5,XX,2,3.5,1.5,4,20.5,7
9,CRE Charleroi 3,1.5,1.5,2,1,2.5,0.5,1.5,2,XX,1,1.5,3,18,6
10,Nivelles 1,0.5,1,1.5,0,2,2,1.5,0.5,3,XX,3,2.5,17.5,8
11,Woluwé 2,1.5,2,0.5,0.5,1.5,2,1.5,2.5,2.5,1,XX,1,16.5,6
12,Mons 3,0,0.5,1.5,0,2,1.5,1.5,0,1,1.5,3,XX,12.5,3
