r,team,1,2,3,4,5,6,7,8,9,10,11,12,bp,mp
1,Humbeek 1,XX,14,16,11,15,14,11,15,15,16,16,,143,8
2,CRE Charleroi 3,10,XX,13,13,14,11,13,13,13,15,16,,131,8
3,Namur 3,8,11,XX,13,12,15,15,11,12,14,17,,128,6.5
4,Landegem 1,13,11,11,XX,12,12,13,12,16,10,17,,127,5.5
5,Dworp 1,9,10,12,12,XX,12,13,14,12,16,14,,124,6.5
6,Pantin 1,10,13,8,12,12,XX,11,12,11,14,18,,121,4.5
7,KGSRL Gent 3,13,11,8,11,11,13,XX,10,12,14,14,,117,4.5
8,Mercatel Sint-Amandsberg 1,8,11,13,12,10,12,14,XX,11,10,16,,117,4
9,Wavre 2,8,11,11,8,11,13,12,13,XX,15,14,,116,4.5
10,Caïssa Europe 1,8,9,10,14,8,10,10,14,8,XX,18,,109,3
11,Mons 2,8,8,7,4,10,6,10,8,9,5,XX,,75,0
12,CRELEL Liège 3,,,,,,,,,,,,XX,0,0
