r,team,1,2,3,4,5,6,7,8,9,10,11,12,bp,mp
1,226 europchess 2,xx,10,8,8,9,5,10,11,10,12,11,11,105,18
2,228 dworp 2,6,xx,8,8,10,9,8,9,9,8,9,10,94,17
3,462 zottegem 4,8,8,xx,9,8,12,7,8,12,9,11,6,98,14
4,240 machelen 1,8,8,7,xx,5,8,8,10,11,11,9,9,94,14
5,229 woluwe 1,7,6,8,11,xx,7,10,6,10,9,11,11,96,13
6,201 cre bruxelles 2,10,7,4,8,9,xx,10,9,7,7,11,11,93,13
7,501 cre charleroi 5,6,8,9,8,6,6,xx,6,10,9,10,8,86,11
8,209 anderlecht 3,5,7,8,6,10,7,10,xx,6,10,6,10,85,9
9,261 opwijk 2,6,7,4,4,6,9,5,10,xx,8,9,9,77,9
10,548 caissa europe 3,4,7,7,5,7,8,7,5,8,xx,10,10,78,7
11,290 epicure 2,5,7,4,7,5,5,6,10,7,6,xx,9,71,4
12,204 excelsior 1,4,6,9,7,5,5,8,6,7,6,7,xx,70,3
