r,team,1,2,3,4,5,6,7,8,9,10,11,bp,mp
1,CRE Charleroi 4,XX,2.5,2,3.5,3.5,3,3.5,4,2.5,4,4,32.5,19
2,Woluwe 2,1.5,XX,2.5,4,3.5,4,3.5,4,3,2.5,3,31.5,18
3,Dworp 3,2,1.5,XX,4,2,2.5,2,2.5,2,2.5,3,24,14
4,Ruisbroek,0.5,0,0,XX,4,2.5,0,3.5,4,3,3,20.5,12
5,Humbeek 3,0.5,0.5,2,0,XX,1.5,3,3,2.5,2,4,19,10
6,Fous du Roy 3,1,0,1.5,1.5,2.5,XX,2.5,0,3.5,2.5,4,19,10
7,Machelen 2,0.5,0.5,2,4,1,1.5,XX,3,2,2,2,18.5,8
8,Desperado 2,0,0,1.5,0.5,1,4,1,XX,2,3.5,3,16.5,7
9,Leuven 4,1.5,1,2,0,1.5,0.5,2,2,XX,3,2,15.5,6
10,Londerzeel,0,1.5,1.5,1,2,1.5,2,0.5,1,XX,1.5,12.5,2
11,Mons 4,0,1,1,1,0,0,2,1,2,2.5,XX,10.5,4
