r,team,1,2,3,4,5,6,7,8,9,10,11,12,bp,mp
1,Borgerhout 4,XX,2,2.5,2.5,2,4,3.5,3.5,2.5,3.5,3,3,32,20
2,Desperado Leuven 2,2,XX,3,1.5,2.5,2.5,2,3.5,3.5,3,3,3,29.5,18
3,Roosdaal 1,1.5,1,XX,3,3,2.5,2,2.5,3,3.5,3,3.5,28.5,17
4,Machelen 1,1.5,2.5,1,XX,3.5,2.5,1.5,3,3,2,3.5,2.5,26.5,15
5,SK Rochade Eupen 3,2,1.5,1,0.5,XX,4,1.5,2.5,2.5,4,2,2,23.5,11
6,Brasschaat 3,0,1.5,1.5,1.5,0,XX,3,1.5,1.5,3,3,3.5,20,8
7,Humbeek 2,0.5,2,2,2.5,2.5,1,XX,0.5,3,2,1,2.5,19.5,11
8,Dworp 1,0.5,0.5,1.5,1,1.5,2.5,3.5,XX,0,3,3,1,18,8
9,TSM Mechelen 3,1.5,0.5,1,1,1.5,2.5,1,4,XX,1,2,1,17,5
10,Opwijk 1,0.5,1,0.5,2,0,1,2,1,3,XX,3,2.5,16.5,8
11,Hoboken 4,1,1,1,0.5,2,1,3,1,2,1,XX,3,16.5,6
12,Sint-Niklaas 2,1,1,0.5,1.5,2,0.5,1.5,3,3,1.5,1,XX,16.5,5
