r,team,1,2,3,4,5,6,7,8,9,10,11,12,bp,mp
1,Boitsfort 1,XX,10,16,15,17,11,11,14,14,16,15,16,155,8
2,Ruy Lopez Gent 3,14,XX,9,12,13,14,12,14,14,10,16,12,140,8
3,Ruy Lopez Gent 4,8,15,XX,13,13,15,13,10,11,11,12,16,137,7
4,Mons 2,9,11,11,XX,11,10,15,17,13,14,12,13,136,5.5
5,Landegem 1,7,11,11,13,XX,11,11,13,14,14,14,13,132,6
6,Brussels 2,13,10,9,14,13,XX,12,12,11,11,14,11,130,5
7,CRE Charleroi 3,13,12,11,9,13,12,XX,10,15,10,13,11,129,5
8,dworp 1,10,10,14,7,11,12,14,XX,13,15,9,12,127,5
9,Pantin 1,10,10,13,11,10,13,9,11,XX,12,13,14,126,4.5
10,Caissa Europe 1,8,14,13,10,10,13,13,9,12,XX,9,14,125,5.5
11,Chess Club Caissa Brussel 2,9,8,11,12,10,10,11,15,11,15,XX,12,124,3
12,Geraardsbergen 1,8,12,8,11,11,13,13,12,10,10,12,XX,120,3.5
