r,team,1,2,3,4,5,6,7,8,9,10,11,12,bp,mp,#
1,952 wavre 1,xx,3.5,4.5,3.5,3.5,4,4,6,4.5,4,5,5,47.5,22,11
2,261 opwijk 1,2.5,xx,4,3.5,4.5,4,4.5,3.5,4.5,4.5,4.5,5,45,20,11
3,278 pantin 1,1.5,2,xx,3,3,2.5,4.5,4,4,6,5,4.5,40,14,11
4,226 europchess 2,2.5,2.5,3,xx,4,3.5,3.5,0.5,3.5,2.5,5,4,34.5,13,11
5,541 leuze 1,2.5,1.5,3,2,xx,6,3.5,3,3,4,3,3.5,35,12,11
6,401 kgs ruy lopez 4,2,2,3.5,2.5,0,xx,3,3,4.5,4,5.5,4,34,12,11
7,228 dworp 1,2,1.5,1.5,2.5,2.5,3,xx,4,4,4,3.5,3,31.5,10,11
8,143 temse 2,0,2.5,2,5.5,3,3,2,xx,2.5,3,3.5,4.5,31.5,9,11
9,432 wetteren 2,1.5,1.5,2,2.5,3,1.5,2,3.5,xx,4,2,4,27.5,7,11
10,174 brasschaat 2,2,1.5,0,3.5,2,2,2,3,2,xx,3.5,3.5,25,7,11
11,518 soignies 1,1,1.5,1,1,3,0.5,2.5,2.5,4,2.5,xx,3,22.5,4,11
12,244 brussels 1,1,1,1.5,2,2.5,2,3,1.5,2,2.5,3,xx,22,2,11
