r,team,1,2,3,4,5,6,7,8,9,10,bp,mp
1,201 CRE Bruxelles 3,XX,2.5,2.5,1.5,2,3.5,2,3,2.5,4,23.5,14
2,712 Tienen 1,1.5,XX,1.5,3.5,3,1,2.5,3.5,3,4,23.5,12
3,402 JJ Gent 5,1.5,2.5,XX,3,1,2.5,3,2,2.5,4,22,13
4,245 Roque 5,2.5,0.5,1,XX,2,3,2.5,2,4,4,21.5,12
5,243 Leuven 3,2,1,3,2,XX,2,2,3,1.5,4,20.5,10
6,203 Fous du Roy 1,0.5,3,1.5,1,2,XX,4,0.5,3,4,19.5,9
7,210 Pat Berchem 1,2,1.5,1,1.5,2,0,XX,3.5,3,4,18.5,8
8,228 Dworp 2,1,0.5,2,2,1,3.5,0.5,XX,4,4,18.5,8
9,244 Thibaut 3,1.5,1,1.5,0,2.5,1,1,0,XX,4,12.5,4
10,274 Westland 3,0.5,0,2,0,0,2,1,0,0,XX,0,0
