r,team,1,2,3,4,5,6,7,8,9,10,bp,mp
1,707 Tessenderlo,XX,12,14,15,16,14,13,16,14,14,128,26
2,425 Dendermonde,12,XX,16,17,13,11,13,13,14,15,124,24
3,138 Bornem,10,7,XX,12,13,16,16,13,14,13,114,22
4,108 Merksem,9,7,12,XX,12,15,9,15,16,17,112,19
5,130 Moretus Hoboken,8,11,11,12,XX,8,14,13,14,15,106,18
6,144 Wilrijk,10,13,8,9,16,XX,13,10,12,15,106,18
7,114 K. Mechelse SK 2,11,11,8,15,10,11,XX,17,12,10,105,14
8,436 Lokeren,8,11,11,9,11,14,7,XX,14,14,99,15
9,229 Caïssa Woluwe,10,10,10,7,10,12,12,10,XX,13,94,13
10,228 Dworp,10,9,11,7,9,9,14,10,11,XX,90,11
