r,team,1,2,3,4,5,6,7,8,9,10,11,12,bp,mp
1,Fous du Roy 1,XX,1,2.5,3.5,2.5,3,4,4,1.5,3,3,4,32,18
2,Fontaine 2,3,XX,2.5,3.5,2,2.5,1.5,3.5,2.5,3.5,3,2.5,30,19
3,Wavre 2,1.5,1.5,XX,1,2.5,3,2,3,2.5,3,2.5,3,25.5,15
4,Ruisbroek 1,0.5,0.5,3,XX,3,2,3,2,2.5,3,2,3,24.5,15
5,Anderlecht 3,1.5,2,1.5,1,XX,2.5,2,2,3,2.5,1,2,21,10
6,Dworp 2,1,1.5,1,2,1.5,XX,0.5,3,3,2.5,2,2.5,20.5,10
7,CRE Charleroi 3,0,2.5,2,1,2,3.5,XX,2,1,1,3,2,20,10
8,Lasne 2,0,0.5,1,2,2,1,2,XX,3,3,2.5,2,19,10
9,Humbeek 3,2.5,1.5,1.5,1.5,1,1,3,1,XX,0,3,2.5,18.5,8
10,Desperado Leuven 3,1,0.5,1,1,1.5,1.5,3,1,4,XX,1.5,2.5,18.5,6
11,Brussels 3,1,1,1.5,2,3,2,1,1.5,1,2.5,XX,1.5,18,6
12,Nivelles,0,1.5,1,1,2,1.5,2,2,1.5,1.5,2.5,XX,16.5,5
